model,qn,dataset,fileName,recall without refinemet,search_time without refinemnt,qps,recall with 2k refinement,search_time with 2k refienement,qps with 2k refienement,construction time,memory
NSG,200,millionSong_100k,NSG-millionSong_100k-12-16,0.81225,0.0164809226989746,12135.242889795449,0.9225,0.0256683826446533,7791.686868968336,191.3040826320648,1143828
NSG,200,millionSong_100k,NSG-millionSong_100k-64-64,0.99075,0.0623822212219238,3206.041658704376,0.99075,0.062223196029663,3214.235409969232,236.07332563400269,1145536
NSG,200,millionSong_100k,NSG-millionSong_100k-64-8,0.91875,0.0303490161895751,6589.999450087593,0.97625,0.0460798740386962,4340.289642112452,236.07332563400269,1145536
NSG,200,millionSong_100k,NSG-millionSong_100k-48-16,0.91475,0.0259485244750976,7707.567349038921,0.974,0.0407164096832275,4912.024452941555,227.91278624534607,1146880
NSG,200,millionSong_100k,NSG-millionSong_100k-12-32,0.891,0.0218756198883056,9142.598062188705,0.9225,0.0261125564575195,7659.150505825207,191.3040826320648,1143828
NSG,200,millionSong_100k,NSG-millionSong_100k-12-8,0.81225,0.0152432918548583,13120.52553374521,0.9225,0.0244748592376709,8171.650674589645,191.3040826320648,1143828
NSG,200,millionSong_100k,NSG-millionSong_100k-24-16,0.89475,0.0285725593566894,6999.722968575291,0.964,0.0418949127197265,4773.849305713636,213.68668603897092,1155296
NSG,200,millionSong_100k,NSG-millionSong_100k-64-32,0.9625,0.0398347377777099,5020.743480628924,0.97625,0.0458707809448242,4360.0740140127655,236.07332563400269,1145536
NSG,200,millionSong_100k,NSG-millionSong_100k-64-16,0.91875,0.0293395519256591,6816.736687280085,0.97625,0.0455904006958007,4386.888400794896,236.07332563400269,1145536
NSG,200,millionSong_100k,NSG-millionSong_100k-24-32,0.94975,0.0369362831115722,5414.729993157847,0.964,0.0419585704803466,4766.606624352935,213.68668603897092,1155296
NSG,200,millionSong_100k,NSG-millionSong_100k-48-32,0.96075,0.0378658771514892,5281.800265707935,0.974,0.0430188179016113,4649.1282130862255,227.91278624534607,1146880
HNSW,200,millionSong_100k,HNSW-millionSong_100k-64-32-64,0.99275,0.0720100402832031,2777.390475181437,0.9935,0.0746924877166748,2677.64545155658,78.63591599464417,957900
HNSW,200,millionSong_100k,HNSW-millionSong_100k-96-96-96,1.0,0.2365579605102539,845.4587601643224,1.0,0.2390806674957275,836.5377347107084,147.35784459114075,991012
HNSW,200,millionSong_100k,HNSW-millionSong_100k-16-16-16,0.82925,0.0328404903411865,6090.043051189534,0.8325,0.0346179008483886,5777.357814845935,19.36925721168518,908304
HNSW,200,millionSong_100k,HNSW-millionSong_100k-32-16-32,0.9375,0.0310549736022949,6440.192239777665,0.93775,0.0327394008636474,6108.847282604738,40.86847472190857,922832
HNSW,200,millionSong_100k,HNSW-millionSong_100k-16-8-16,0.70625,0.0195131301879882,10249.50882166072,0.70625,0.0229380130767822,8719.15101497781,19.39300513267517,907004
HNSW,200,millionSong_100k,HNSW-millionSong_100k-48-24-48,0.9785,0.0614528656005859,3254.526831993544,0.97975,0.0650606155395507,3074.05637560282,52.82151985168457,938304
HNSW,200,millionSong_100k,HNSW-millionSong_100k-24-12-24,0.85175,0.0262637138366699,7615.06926414786,0.85175,0.029961347579956,6675.267174357628,31.558804750442505,916344
FLATNAV,200,millionSong_100k,FLATNAV-millionSong_100k-64-64-32,0.943,0.0410194396972656,4875.737003626895,0.95475,0.0484211444854736,4130.426947260615,30.140066623687744,932188
FLATNAV,200,millionSong_100k,FLATNAV-millionSong_100k-48-48-24,0.90125,0.0411007404327392,4866.092384084832,0.93925,0.0497910976409912,4016.782305986909,35.742467403411865,913628
FLATNAV,200,millionSong_100k,FLATNAV-millionSong_100k-32-32-32,0.895,0.0346033573150634,5779.785995300991,0.91575,0.042356252670288,4721.85302974867,15.729165077209473,919424
FLATNAV,200,millionSong_100k,FLATNAV-millionSong_100k-16-16-8,0.68375,0.0185902118682861,10758.349685147425,0.8125,0.0283830165863037,7046.467361630281,7.528324604034424,913804
