model,dataset,recall,query_latency,construction_time
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.21575,9.759902954101563e-05,428.05141854286194
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.297,8.908271789550781e-05,394.0806884765625
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.1715,6.501793861389161e-05,359.8087899684906
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.1715,6.534934043884278e-05,359.8087899684906
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.21575,9.816169738769532e-05,428.05141854286194
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.2275,8.93235206604004e-05,349.67608308792114
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.215,5.780220031738281e-05,394.0806884765625
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.264,0.00014220476150512694,428.05141854286194
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.299,0.00013843297958374023,349.67608308792114
NSG,coco-nomic-768-normalized_20_variants_128_dim,0.215,5.9428215026855467e-05,394.0806884765625
HNSW,coco-nomic-768-normalized_20_variants_128_dim,0.05675,5.083918571472167e-05,27.860138177871704
HNSW,coco-nomic-768-normalized_20_variants_128_dim,0.645,0.001242603063583374,204.94749426841736
HNSW,coco-nomic-768-normalized_20_variants_128_dim,0.0855,0.0001708364486694336,51.14656448364258
HNSW,coco-nomic-768-normalized_20_variants_128_dim,0.1265,6.133317947387695e-05,42.70592927932739
HNSW,coco-nomic-768-normalized_20_variants_128_dim,0.1025,0.00010995388031005858,43.85527420043945
HNSW,coco-nomic-768-normalized_20_variants_128_dim,0.316,0.0003322458267211914,121.11204886436462
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.08475,4.219651222229004e-05,11.353350400924684
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.2395,0.00014151096343994142,78.37977290153503
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.039,3.058910369873047e-05,6.73830771446228
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.08475,6.182432174682617e-05,17.458908557891846
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.10225,0.00045389652252197265,18.07455587387085
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.164,0.00011538386344909668,36.02362370491028
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.139,8.312821388244628e-05,37.640814781188965
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.17625,8.268594741821289e-05,46.00903129577637
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.10225,6.650209426879883e-05,22.21319007873535
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.3725,0.00022295117378234863,69.59352135658264
FLATNAV,coco-nomic-768-normalized_20_variants_128_dim,0.23375,0.0001656198501586914,50.107237339019775
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.91925,0.00022953033447265626,1681.277141571045
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.977,0.00041453003883361816,1843.5328752994533
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.811,0.00018869638442993162,1686.7940139770508
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.95125,0.0002678358554840088,1843.5328752994533
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.91925,0.00022763848304748537,1681.277141571045
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.95125,0.00026837468147277826,1843.5328752994533
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.95625,0.00032041788101196285,2723.561454296112
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.811,0.00018535971641540526,1686.7940139770508
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.811,0.0001862776279449463,1686.7940139770508
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.9795,0.0004891383647918701,2723.561454296112
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.95125,0.0002713561058044434,1843.5328752994533
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.95625,0.0003244459629058838,2723.561454296112
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.88725,0.0002585387229919434,1686.7940139770508
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.91925,0.00022091627120971678,1681.277141571045
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.95625,0.00032721281051635744,2723.561454296112
NSG,arxiv-nomic-768-normalized_20_variants_128_dim,0.955,0.0003148949146270752,1681.277141571045
HNSW,arxiv-nomic-768-normalized_20_variants_128_dim,0.86875,0.0002348637580871582,413.8916084766388
HNSW,arxiv-nomic-768-normalized_20_variants_128_dim,0.946,0.000409393310546875,785.1316568851471
HNSW,arxiv-nomic-768-normalized_20_variants_128_dim,0.59825,8.542418479919433e-05,156.70102882385254
HNSW,arxiv-nomic-768-normalized_20_variants_128_dim,0.99875,0.0013249051570892335,2423.9644486904144
HNSW,arxiv-nomic-768-normalized_20_variants_128_dim,0.974,0.0005384576320648193,1083.1109790802002
HNSW,arxiv-nomic-768-normalized_20_variants_128_dim,0.786,0.00015366673469543456,280.9545545578003
HNSW,arxiv-nomic-768-normalized_20_variants_128_dim,0.7315,0.00019652724266052245,219.2839527130127
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.822,0.00015471458435058595,88.61880683898926
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.9685,0.0003395307064056396,310.3807408809662
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.6685,6.645083427429199e-05,39.94362258911133
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.88725,0.0001693141460418701,130.83905172348022
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.9665,0.00032335996627807617,513.3453903198242
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.88725,0.00010767221450805664,122.63329601287842
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.92125,0.0002081024646759033,220.9835352897644
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.93475,0.0004826462268829345,236.45063591003412
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.98875,0.0004374730587005615,466.93760657310486
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.942,0.00011807918548583984,262.10276055336
FLATNAV,arxiv-nomic-768-normalized_20_variants_128_dim,0.822,0.00015679478645324707,101.24369525909424
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.974,0.00038963556289672846,2233.476775407791
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.888,0.00018640995025634766,2003.2679061889648
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.974,0.0003750383853912354,2233.476775407791
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.956,0.00028363585472106933,2379.3597695827484
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.888,0.00018701791763305663,2003.2679061889648
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.9715,0.000420917272567749,2379.3597695827484
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.9865,0.0005635011196136474,3351.0338821411133
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.98525,0.0005175912380218507,2233.476775407791
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.97625,0.000398554801940918,3351.0338821411133
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.97625,0.00036179304122924805,3351.0338821411133
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.974,0.00037699818611145017,2233.476775407791
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.956,0.0002895224094390869,2379.3597695827484
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.888,0.0001905930042266846,2003.2679061889648
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.956,0.0002840638160705566,2379.3597695827484
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.92675,0.00025629520416259766,2003.2679061889648
NSG,arxiv-nomic-768-normalized_20_variants_512_dim,0.97625,0.00038047313690185545,3351.0338821411133
HNSW,arxiv-nomic-768-normalized_20_variants_512_dim,0.999,0.0016461074352264403,3269.137026786804
HNSW,arxiv-nomic-768-normalized_20_variants_512_dim,0.982,0.0005564737319946289,1624.2867257595062
HNSW,arxiv-nomic-768-normalized_20_variants_512_dim,0.65025,0.00013259053230285645,285.4675645828247
HNSW,arxiv-nomic-768-normalized_20_variants_512_dim,0.96475,0.00043748617172241207,1231.2017188072205
HNSW,arxiv-nomic-768-normalized_20_variants_512_dim,0.83325,0.00017102479934692384,355.36756920814514
