model,qn,dataset,fileName,recall without refinemet,search_time without refinemnt,qps,recall with 2k refinement,search_time with 2k refienement,qps with 2k refienement,construction time,memory
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-64-64-32,0.956,0.1012048721313476,1976.1894441251025,0.96275,0.1192090511322021,1677.7249554499108,528.1962959766388,6951084
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-32-32-16,0.85425,0.0314345359802246,6362.428894316096,0.91975,0.0449709892272949,4447.311554325583,244.25232100486755,6857556
FLATNAV,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,FLATNAV-agnews-mxbai-1024-euclidean_20_variants_1024_dim-48-48-24,0.923,0.0402033329010009,4974.711934766494,0.95425,0.0542471408843994,3686.830250209863,340.40807700157166,6906684
HNSW,200,MNIST_128_dim,HNSW-MNIST_128_dim-16-8-16,0.0,0.0010280609130859,194541.0018552876,0.0,0.0016126632690429,124018.45062093437,5.505737543106079,655508
HNSW,200,MNIST_128_dim,HNSW-MNIST_128_dim-32-16-32,0.0,0.0016894340515136,118382.83940163704,0.0,0.0026624202728271,75119.6203098415,26.407522916793823,671108
HNSW,200,MNIST_128_dim,HNSW-MNIST_128_dim-48-24-48,0.02975,0.0066354274749755,30141.23818763249,0.02975,0.0095162391662597,21016.705917723106,193.65482902526853,675752
HNSW,200,MNIST_128_dim,HNSW-MNIST_128_dim-96-96-96,0.00025,0.0239596366882324,8347.37198240691,0.00025,0.0228645801544189,8747.153835726425,1376.373349905014,726836
HNSW,200,MNIST_128_dim,HNSW-MNIST_128_dim-24-12-24,0.00025,0.001953125,102400.0,0.00075,0.0032224655151367,62064.27937259544,22.04611158370972,665516
HNSW,200,MNIST_128_dim,HNSW-MNIST_128_dim-64-32-64,0.00025,0.0050599575042724,39526.023653583376,0.00025,0.0055391788482666,36106.43481255111,176.39778208732605,693424
HNSW,200,MNIST_128_dim,HNSW-MNIST_128_dim-16-16-16,0.0,0.0010159015655517,196869.4672612063,0.0,0.0015952587127685,125371.51397399492,5.5290138721466064,656068
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-48-48-24,0.7955,0.001901626586914,105173.11935807424,0.8835,0.0025422573089599,78670.2428959955,18.30091691017151,654356
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-96-96-96,0.09075,0.0076134204864501,26269.401559515238,0.7075,0.0074717998504638,26767.312294585023,137.0195128917694,667688
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-96-96-48,0.5305,0.0043869018554687,45590.260869565216,0.7955,0.0038683414459228,51701.74422187982,137.5346884727478,668008
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-24-24-12,0.8835,0.0014925003051757,134003.32268370606,0.8835,0.0017807483673095,112312.33096800109,3.102729320526123,649236
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-24-24-24,0.75125,0.0017123222351074,116800.44555834027,0.8835,0.0017590522766113,113697.5874220656,3.212303876876831,648384
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-32-32-16,0.8835,0.0014441013336181,138494.43618953275,0.8835,0.0016379356384277,122104.91994177584,8.582002639770508,651308
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-32-32-32,0.7955,0.002558946609497,78157.16016025342,0.8835,0.0025713443756103,77780.32452480297,9.64709448814392,651660
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-48-48-48,0.57425,0.0029842853546142,67017.71990093472,0.8835,0.002819538116455,70933.60392355826,18.1443190574646,655284
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-64-64-32,0.7955,0.0023727416992187,84290.67524115756,0.8835,0.0027053356170654,73927.9809641315,61.14120507240296,649168
FLATNAV,200,MNIST_128_dim,FLATNAV-MNIST_128_dim-64-64-64,0.266,0.003871202468872,51663.53390404632,0.83925,0.0036187171936035,55268.20397944393,62.89433264732361,659536
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-64-64,0.98325,0.1064333915710449,1879.109526134933,0.98325,0.1071178913116455,1867.101728301635,3130.5152139663696,5881488
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-64-32,0.96175,0.0640797615051269,3121.1102429586635,0.9695,0.0735280513763427,2720.050324417394,3130.5152139663696,5881488
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-48-8,0.9215,0.0403482913970947,4956.83938711717,0.965,0.0620667934417724,3222.334986382511,2274.223222017288,5883780
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-12-64,0.92275,0.0545046329498291,3669.412840264381,0.92275,0.0550456047058105,3633.350947253528,1900.7082080841064,5883680
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-12-8,0.7675,0.0283424854278564,7056.544159088806,0.86825,0.0406639575958251,4918.360430823713,1900.7082080841064,5883680
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-48-64,0.98075,0.0864553451538086,2313.332965638961,0.98075,0.086125373840332,2322.1960159009623,2274.223222017288,5883780
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-24-8,0.88475,0.0411455631256103,4860.791414846706,0.94725,0.0672440528869628,2974.2407159217423,2292.5949676036835,5881136
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-48-16,0.9215,0.040135383605957,4983.134133301652,0.965,0.0624268054962158,3203.7519525506327,2274.223222017288,5883780
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-24-16,0.88475,0.0411877632141113,4855.811153432048,0.94725,0.0592236518859863,3377.0291704575648,2292.5949676036835,5881136
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-12-32,0.83575,0.0360889434814453,5541.863537867977,0.86825,0.0397014617919921,5037.597886139803,1900.7082080841064,5883680
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-64-8,0.93125,0.0472755432128906,4230.517227467119,0.9695,0.0749316215515136,2669.100118999892,3130.5152139663696,5881488
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-24-64,0.966,0.0828137397766113,2415.058184058547,0.966,0.0829362869262695,2411.489679756224,2292.5949676036835,5881136
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-24-32,0.93375,0.0519230365753173,3851.854845004844,0.94725,0.0593283176422119,3371.071487415659,2292.5949676036835,5881136
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-64-16,0.93125,0.0477945804595947,4184.574863442496,0.9695,0.0757880210876464,2638.939467342817,3130.5152139663696,5881488
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-48-32,0.9555,0.0539278984069824,3708.655555064327,0.965,0.0622618198394775,3212.241475042601,2274.223222017288,5883780
NSG,200,arxiv-nomic-768-normalized_20_variants_384_dim,NSG-arxiv-nomic-768-normalized_20_variants_384_dim-12-16,0.7675,0.0285394191741943,7007.85109813455,0.86825,0.0411398410797119,4861.467491147648,1900.7082080841064,5883680
HNSW,200,arxiv-nomic-768-normalized_20_variants_384_dim,HNSW-arxiv-nomic-768-normalized_20_variants_384_dim-48-24-48,0.95525,0.0894093513488769,2236.902482600464,0.96275,0.0945780277252197,2114.656065582862,1149.9403314590454,3960560
HNSW,200,arxiv-nomic-768-normalized_20_variants_384_dim,HNSW-arxiv-nomic-768-normalized_20_variants_384_dim-24-12-24,0.80225,0.0322389602661132,6203.674012720012,0.8075,0.0322465896606445,6202.206252033242,404.528507232666,3957308
HNSW,200,arxiv-nomic-768-normalized_20_variants_384_dim,HNSW-arxiv-nomic-768-normalized_20_variants_384_dim-16-16-16,0.73125,0.029620885848999,6751.992530525841,0.772,0.0324392318725585,6165.3740996619135,227.7987997531891,3829828
HNSW,200,arxiv-nomic-768-normalized_20_variants_384_dim,HNSW-arxiv-nomic-768-normalized_20_variants_384_dim-96-96-96,0.9975,0.3139123916625976,637.120436503717,0.9975,0.3131833076477051,638.6036391983471,3086.889088869095,4345092
HNSW,200,arxiv-nomic-768-normalized_20_variants_384_dim,HNSW-arxiv-nomic-768-normalized_20_variants_384_dim-32-16-32,0.895,0.0554461479187011,3607.103604262162,0.899,0.0570442676544189,3506.0490426772435,603.6289007663727,3832716
HNSW,200,arxiv-nomic-768-normalized_20_variants_384_dim,HNSW-arxiv-nomic-768-normalized_20_variants_384_dim-16-8-16,0.64625,0.0279011726379394,7168.1575034607695,0.65175,0.0262942314147949,7606.231071940228,262.5964298248291,3831680
HNSW,200,arxiv-nomic-768-normalized_20_variants_384_dim,HNSW-arxiv-nomic-768-normalized_20_variants_384_dim-64-32-64,0.97725,0.1053938865661621,1897.6432743510973,0.9785,0.1077227592468261,1856.6178716397164,1518.2630038261414,4084812
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-32-32-32,0.883,0.0314447879791259,6360.354540560623,0.90225,0.0367405414581298,5443.577913186806,187.6253366470337,3738060
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-96-96-48,0.97325,0.0575027465820312,3478.0947326522487,0.97325,0.0572850704193115,3491.311061259994,637.7891874313354,3980004
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-24-24-12,0.76725,0.0234696865081787,8521.63065451701,0.86375,0.0344164371490478,5811.176768061627,134.4769561290741,3703668
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-32-32-16,0.8165,0.0291314125061035,6865.441212577546,0.90225,0.0446047782897949,4483.824551275884,182.1917440891266,3742904
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-48-48-48,0.951,0.0583832263946533,3425.64144448029,0.951,0.0582261085510253,3434.8852254952544,312.0945498943329,3805808
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-48-48-24,0.89275,0.0283396244049072,7057.256551550078,0.94075,0.0390341281890869,5123.7214529596085,311.6068184375763,3805248
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-64-64-32,0.92925,0.030383825302124,6582.449642574095,0.94975,0.0356714725494384,5606.721161365353,328.8283705711365,3867364
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-16-16-8,0.60675,0.0187485218048095,10667.507661787708,0.73375,0.0266695022583007,7499.20257464688,71.79540657997131,3672964
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-96-96-96,0.98925,0.116067886352539,1723.129508816328,0.98925,0.1158154010772705,1726.8860457216967,692.5029656887054,3982488
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-24-24-24,0.786,0.0237643718719482,8415.959869576121,0.86375,0.0319492816925048,6259.921644714749,130.01593160629272,3711760
FLATNAV,200,arxiv-nomic-768-normalized_20_variants_384_dim,FLATNAV-arxiv-nomic-768-normalized_20_variants_384_dim-64-64-64,0.97075,0.1109213829040527,1803.078854263839,0.97075,0.1111402511596679,1799.5280549858846,499.1861016750336,3862428
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-64-8,0.14025,0.0090193748474121,22174.485857784828,0.215,0.0118191242218017,16921.727553305227,394.0806884765625,1532736
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-12-64,0.21575,0.0204336643218994,9787.76967504813,0.21575,0.0203166007995605,9844.166451522053,359.8087899684906,1527012
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-12-32,0.14725,0.0109312534332275,18296.16349320596,0.1715,0.0132548809051513,15088.781365230689,359.8087899684906,1527012
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-48-32,0.19125,0.0165686607360839,12070.981667482083,0.2275,0.0183885097503662,10876.357177123446,349.67608308792114,1528456
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-24-8,0.1085,0.0123543739318847,16188.598556486164,0.21575,0.0194785594940185,10267.699727046842,428.05141854286194,1532736
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-48-16,0.13125,0.0099053382873535,20191.13272035816,0.2275,0.0181317329406738,11030.385272846812,349.67608308792114,1528456
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-24-32,0.177,0.0179769992828369,11125.32725030172,0.21575,0.0195198059082031,10246.003517686144,428.05141854286194,1532736
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-64-64,0.297,0.0187182426452636,10684.763724366325,0.297,0.0178165435791015,11225.52189273097,394.0806884765625,1532736
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-12-16,0.116,0.0080204010009765,24936.40903686088,0.1715,0.0130035877227783,15380.370730276303,359.8087899684906,1527012
NSG,200,coco-nomic-768-normalized_20_variants_128_dim,NSG-coco-nomic-768-normalized_20_variants_128_dim-12-8,0.116,0.0088975429534912,22478.11570513679,0.1715,0.0130698680877685,15302.373264743976,359.8087899684906,1527012
