model,dataset,recall,query_latency,construction_time
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.984,0.0003430449962615967,389.2633376121521
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.972,0.00039614558219909664,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.94575,0.0002487802505493164,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.9955,0.0007103729248046875,413.17134165763855
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.93125,0.0002487802505493164,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.98475,0.0005936551094055176,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.94075,0.0003859651088714599,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.94825,0.0002487802505493164,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.9595,0.0002487802505493164,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.95975,0.0002487802505493164,366.404643535614
HNSW+FLATNAV,arxiv-nomic-768-normalized_20_variants_500k,0.9785,0.0003631472587585449,366.404643535614
NSG+HNSW,sift_10k,0.998149,0.00015634965896606446,18.698278188705444
NSG+HNSW,sift_10k,0.995577,0.00011463654041290284,18.698278188705444
NSG+HNSW,sift_10k,0.999917,0.00022489397525787353,18.698278188705444
NSG+HNSW,sift_10k,0.995935,0.00015206496715545656,18.698278188705444
NSG+HNSW,sift_10k,0.996872,0.00011463654041290284,18.698278188705444
NSG+HNSW,sift_10k,0.996201,0.00011463654041290284,18.698278188705444
NSG+HNSW,sift_10k,0.998999,0.00017443604469299316,18.698278188705444
NSG+HNSW,sift_10k,0.99749,0.00015634965896606446,18.327276468276978
NSG+HNSW,sift_10k,0.993319,0.0001137648582458496,18.327276468276978
NSG+HNSW,sift_10k,0.99992,0.00022489397525787353,18.327276468276978
NSG+HNSW,sift_10k,0.99393,0.00015206496715545656,18.327276468276978
NSG+HNSW,sift_10k,0.99553,0.0001137648582458496,18.327276468276978
NSG+HNSW,sift_10k,0.99439,0.0001137648582458496,18.327276468276978
