model,dataset,construction_time (parallel),construction_time (sequential),search_time,search_timex_refined (parallel),search_timex_refined (sequential),recall,refined_recall,scann_peram,annoy_peram
annoy,sift_twenty,111.5490517616272,111.5490517616272,3.788137435913086,7.34347128868103,7.34347128868103,0.632125,0.75402,,50
annoy,sift_twenty,210.72999477386475,210.72999477386475,6.791644811630249,11.738981485366821,11.738981485366821,0.773105,0.86541,,100
annoy,sift_twenty,450.26346588134766,450.26346588134766,14.635952711105347,21.04870629310608,21.04870629310608,0.875095,0.93383,,200
annoy,sift_twenty,614.1599314212799,614.1599314212799,19.6551616191864,29.21124267578125,29.21124267578125,0.93713,0.969565,,400
annoy,imageNet_hundred,153.9841890335083,153.9841890335083,0.1439661979675293,0.35303616523742676,0.35303616523742676,0.463,0.60085,,25
annoy,imageNet_hundred,269.23779702186584,269.23779702186584,0.17859435081481934,0.4171168804168701,0.4171168804168701,0.6179,0.75195,,50
annoy,imageNet_hundred,486.0056302547455,486.0056302547455,0.36171913146972656,0.6944997310638428,0.6944997310638428,0.75015,0.85765,,100
annoy,imageNet_hundred,1082.7559835910797,1082.7559835910797,0.7996253967285156,1.3183727264404297,1.3183727264404297,0.8563,0.9258,,200
annoy,imageNet_hundred,1451.478921175003,1451.478921175003,0.9909436702728271,1.588179349899292,1.588179349899292,0.92535,0.9667,,400
scann,deep,155.14777445793152,155.14777445793152,0.22383928298950195,0.22623205184936523,0.22623205184936523,0.71675,0.90275,2000-1000-250000-2-0.2,
scann,deep,167.46843338012695,167.46843338012695,0.04514670372009277,0.037642717361450195,0.037642717361450195,0.7115,0.89425,2000-100-250000-2-0.2,
scann,deep,161.03953862190247,161.03953862190247,0.01861739158630371,0.012873172760009766,0.012873172760009766,0.61575,0.7265,2000-10-250000-2-0.2,
scann,deep,165.7524402141571,165.7524402141571,0.0652923583984375,0.06580853462219238,0.06580853462219238,0.71475,0.90025,2000-200-250000-2-0.2,
scann,deep,167.8778293132782,167.8778293132782,0.025713443756103516,0.01997852325439453,0.01997852325439453,0.67475,0.831,2000-25-250000-2-0.2,
scann,deep,161.5195996761322,161.5195996761322,0.11216974258422852,0.1038675308227539,0.1038675308227539,0.716,0.90225,2000-400-250000-2-0.2,
scann,deep,162.0032844543457,162.0032844543457,0.030531883239746094,0.025788307189941406,0.025788307189941406,0.698,0.8735,2000-50-250000-2-0.2,
scann,deep,162.38155603408813,162.38155603408813,0.1727306842803955,0.16349363327026367,0.16349363327026367,0.71675,0.90275,2000-600-250000-2-0.2,
scann,deep,168.50011038780212,168.50011038780212,0.03944516181945801,0.03177237510681152,0.03177237510681152,0.7085,0.88825,2000-75-250000-2-0.2,
scann,glove,75.10725712776184,75.10725712776184,0.17468905448913574,0.18159747123718262,0.18159747123718262,0.53975,0.6985,2000-1000-250000-2-0.2,
scann,glove,72.54348516464233,72.54348516464233,0.03525948524475098,0.03220176696777344,0.03220176696777344,0.5335,0.68,2000-100-250000-2-0.2,
scann,glove,62.27892518043518,62.27892518043518,0.012918949127197266,0.00947713851928711,0.00947713851928711,0.46125,0.55775,2000-10-250000-2-0.2,
scann,glove,73.55118083953857,73.55118083953857,0.05133819580078125,0.05105781555175781,0.05105781555175781,0.5385,0.692,2000-200-250000-2-0.2,
scann,glove,62.23160004615784,62.23160004615784,0.01930689811706543,0.015540599822998047,0.015540599822998047,0.50375,0.62725,2000-25-250000-2-0.2,
scann,glove,77.08948588371277,77.08948588371277,0.08777499198913574,0.08785676956176758,0.08785676956176758,0.53975,0.69425,2000-400-250000-2-0.2,
scann,glove,67.99000525474548,67.99000525474548,0.023685693740844727,0.022715091705322266,0.022715091705322266,0.52175,0.65725,2000-50-250000-2-0.2,
scann,glove,71.7261221408844,71.7261221408844,0.11164546012878418,0.11121344566345215,0.11121344566345215,0.53875,0.69725,2000-600-250000-2-0.2,
scann,glove,76.52783751487732,76.52783751487732,0.029527902603149414,0.028385639190673828,0.028385639190673828,0.531,0.6735,2000-75-250000-2-0.2,
scann,sun,82.48022437095642,82.48022437095642,0.11609029769897461,0.11841750144958496,0.11841750144958496,0.7185,0.91,2000-1000-250000-2-0.2,
scann,sun,89.83612132072449,89.83612132072449,0.03038311004638672,0.030048847198486328,0.030048847198486328,0.68875,0.847,2000-100-250000-2-0.2,
scann,sun,76.5147852897644,76.5147852897644,0.020532608032226562,0.018483877182006836,0.018483877182006836,0.38475,0.4015,2000-10-250000-2-0.2,
scann,sun,85.86291170120239,85.86291170120239,0.04272603988647461,0.0428011417388916,0.0428011417388916,0.7105,0.8915,2000-200-250000-2-0.2,
scann,sun,81.71897912025452,81.71897912025452,0.0214078426361084,0.020566225051879883,0.020566225051879883,0.55225,0.61275,2000-25-250000-2-0.2,
scann,sun,89.32081317901611,89.32081317901611,0.06531739234924316,0.06682372093200684,0.06682372093200684,0.717,0.9075,2000-400-250000-2-0.2,
scann,sun,79.16007447242737,79.16007447242737,0.024989843368530273,0.02511429786682129,0.02511429786682129,0.6415,0.75575,2000-50-250000-2-0.2,
scann,sun,83.24153256416321,83.24153256416321,0.08001923561096191,0.08112621307373047,0.08112621307373047,0.718,0.9095,2000-600-250000-2-0.2,
scann,sun,85.07126951217651,85.07126951217651,0.028743267059326172,0.025516033172607422,0.025516033172607422,0.673,0.81675,2000-75-250000-2-0.2,
scann,audio,23.18119740486145,23.18119740486145,0.0772707462310791,0.08357095718383789,0.08357095718383789,0.6855,0.88275,2000-1000-250000-2-0.2,
scann,audio,21.757128953933716,21.757128953933716,0.017290830612182617,0.017644643783569336,0.017644643783569336,0.68175,0.87325,2000-100-250000-2-0.2,
scann,audio,17.317301511764526,17.317301511764526,0.007165431976318359,0.006492137908935547,0.006492137908935547,0.57475,0.6735,2000-10-250000-2-0.2,
scann,audio,21.909144639968872,21.909144639968872,0.02437615394592285,0.025458812713623047,0.025458812713623047,0.684,0.879,2000-200-250000-2-0.2,
scann,audio,18.40098261833191,18.40098261833191,0.008715629577636719,0.008183717727661133,0.008183717727661133,0.6535,0.816,2000-25-250000-2-0.2,
scann,audio,23.144413709640503,23.144413709640503,0.048166751861572266,0.048970937728881836,0.048970937728881836,0.685,0.883,2000-400-250000-2-0.2,
scann,audio,18.32329821586609,18.32329821586609,0.010430574417114258,0.010339975357055664,0.010339975357055664,0.67925,0.86025,2000-50-250000-2-0.2,
scann,audio,23.237333059310913,23.237333059310913,0.05106616020202637,0.054273128509521484,0.054273128509521484,0.6855,0.883,2000-600-250000-2-0.2,
scann,audio,21.83855938911438,21.83855938911438,0.01499319076538086,0.015102148056030273,0.015102148056030273,0.6805,0.87,2000-75-250000-2-0.2,
scann,millionSong,230.11425614356995,230.11425614356995,0.476412296295166,0.5975437164306641,0.5975437164306641,0.0,0.0,2000-1000-250000-2-0.2,
scann,millionSong,245.79801440238953,245.79801440238953,0.06921195983886719,0.07514142990112305,0.07514142990112305,0.00075,0.001,2000-100-250000-2-0.2,
scann,millionSong,254.57603001594543,254.57603001594543,0.02927422523498535,0.017947912216186523,0.017947912216186523,0.00225,0.0055,2000-10-250000-2-0.2,
scann,millionSong,237.27852177619934,237.27852177619934,0.11669039726257324,0.13799834251403809,0.13799834251403809,0.00025,0.00075,2000-200-250000-2-0.2,
